year,wb_total,ncc_total,diff
2012,111451879.72452602,113195951,1744071.275473982
2013,125644626.165375,127606629,1962002.8346250057
2014,137143907.76996,139143610,1999702.2300400138
2015,148875577.910705,151017244,2141666.089295
2016,152380798.934419,154529780,2148981.065580994
2017,143107638.22416,145059514,1951875.7758400142
2018,170732372.66368002,172871094,2138721.336319983
2019,182767376.468061,184699409,1932032.531939
2020,202599640.143978,204601313,2001672.8560220003
2021,193930709.855448,195463898,1533188.1445519924
2022,221183042.235012,222571568,1388525.7649880052
2023,223563367.353692,224713710,1150342.6463080049
2024,164056084.415124,164926599,870514.5848760009
