month,subscriptions,teledensity,year,month_name,subs_pct_change
2012-05-01,101814533,72.72,2012,05,NA
2012-06-01,102369999,73.12,2012,06,0.5455665155386091
2012-07-01,103425458,73.88,2012,07,1.0310237474946193
2012-08-01,105239815,75.17,2012,08,1.7542653763254368
2012-09-01,107367095,76.69,2012,09,2.0213642526832665
2012-10-01,109499882,78.21,2012,10,1.9864437982605399
2012-11-01,110348131,78.82,2012,11,0.7746574557952579
2012-12-01,113195951,80.85,2012,12,2.580759614315542
2013-01-01,114492384,81.78,2013,01,1.145299799636823
2013-02-01,116601637,83.29,2013,02,1.8422648968511313
2013-03-01,117281669,83.77,2013,03,0.5832096508216367
2013-04-01,119356665,85.25,2013,04,1.7692415342418055
2013-05-01,120748754,86.25,2013,05,1.1663269914587548
2013-06-01,120362218,85.97,2013,06,-0.3201159326248648
2013-07-01,114760406,81.97,2013,07,-4.654128258088431
2013-08-01,112662439,80.47,2013,08,-1.8281278997914985
2013-09-01,121271218,86.62,2013,09,7.641214832922261
2013-10-01,121888014,87.06,2013,10,0.5086087285772978
2013-11-01,123740224,88.39,2013,11,1.519599786079051
2013-12-01,127606629,91.15,2013,12,3.124614515002011
2014-01-01,127960580,91.4,2014,01,0.2773766557221835
2014-02-01,128264572,91.62,2014,02,0.23756691318530532
2014-03-01,127097196,90.78,2014,03,-0.9101312870712253
2014-04-01,129391392,92.24,2014,04,1.8050720804257514
2014-05-01,131182520,93.7,2014,05,1.3842713740957358
2014-06-01,132780703,94.84,2014,06,1.2182896013889666
2014-07-01,132186840,94.42,2014,07,-0.44725098345050895
2014-08-01,133282003,95.2,2014,08,0.8284962406242657
2014-09-01,134507196,96.08,2014,09,0.9192486400433131
2014-10-01,135618994,96.87,2014,10,0.826571390277131
2014-11-01,136637853,97.6,2014,11,0.7512657113501353
2014-12-01,139143610,99.39,2014,12,1.833867369095743
2015-01-01,140822483,100.59,2015,01,1.2065757098008278
2015-02-01,142589775,101.85,2015,02,1.254978581793642
2015-03-01,143934208,102.81,2015,03,0.9428677477049119
2015-04-01,145476326,103.91,2015,04,1.0714047907221635
2015-05-01,146561744,104.69,2015,05,0.7461131510841046
2015-06-01,148775410,106.27,2015,06,1.5103982387109083
2015-07-01,150741005,107.67,2015,07,1.3211827142670884
2015-08-01,151018624,107.87,2015,08,0.1841695297175372
2015-09-01,150660631,107.61,2015,09,-0.23705221946664912
2015-10-01,152003124,107.57,2015,10,0.8910708730537564
2015-11-01,152123172,107.66,2015,11,0.07897732417656567
2015-12-01,151017244,107.87,2015,12,-0.726995095789873
2016-01-01,151357769,108.11,2016,01,0.2254874946598706
2016-02-01,148620359,106.16,2016,02,-1.808569205324373
2016-03-01,148745464,106.25,2016,03,0.08417756547069999
2016-04-01,147568310,105.41,2016,04,-0.791388166297291
2016-05-01,148848158,106.32,2016,05,0.8672919002731705
2016-06-01,149818906,107.01,2016,06,0.6521733376102734
2016-07-01,150262066,107.33,2016,07,0.2957971138836113
2016-08-01,152800848,109.14,2016,08,1.6895694752393497
2016-09-01,153299535,109.51,2016,09,0.32636402646142315
2016-10-01,153514107,109.65,2016,10,0.1399691134092551
2016-11-01,153949450,109.96,2016,11,0.2835850128092732
2016-12-01,154529780,110.38,2016,12,0.3769613986928766
2017-01-01,155113547,110.8,2017,01,0.3777699029921644
2017-02-01,154120484,110.09,2017,02,-0.6402168084003623
2017-03-01,152467198,108.91,2017,03,-1.072723078134119
2017-04-01,149249510,106.61,2017,04,-2.1104132837805545
2017-05-01,145350702,103.82,2017,05,-2.6122752429806995
2017-06-01,143064490,102.19,2017,06,-1.5728936761516321
2017-07-01,139144705,99.39,2017,07,-2.7398727664705635
2017-08-01,139444227,99.6,2017,08,0.21525935895296833
2017-09-01,139905213,99.93,2017,09,0.3305880852277898
2017-10-01,140766653,100.55,2017,10,0.6157311665005549
2017-11-01,142320120,101.66,2017,11,1.1035760010575713
2017-12-01,145059514,103.61,2017,12,1.9248114743017464
2018-01-01,147296344,105.21,2018,01,1.5420084752248764
2018-02-01,148398425,106,2018,02,0.7482066221548678
2018-03-01,149293870,106.64,2018,03,0.6034059997604313
2018-04-01,160524590,114.66,2018,04,7.522559365632353
2018-05-01,162522772,116.09,2018,05,1.2447824971862476
2018-06-01,162763480,116.26,2018,06,0.14810724493425909
2018-07-01,161792917,115.57,2018,07,-0.5963026841156238
2018-08-01,160886485,114.92,2018,08,-0.560242077840778
2018-09-01,162058918,115.76,2018,09,0.728733056726294
2018-10-01,165239443,118.03,2018,10,1.9625732661006756
2018-11-01,169104830,120.79,2018,11,2.339264118676554
