country,iso_code,year,subscriptions_per_100,indicator,units
Nigeria,NGA,2000,0.0237375,Mobile-cellular subscriptions,count
Nigeria,NGA,2001,0.205187,Mobile-cellular subscriptions,count
Nigeria,NGA,2002,1.17557,Mobile-cellular subscriptions,count
Nigeria,NGA,2003,2.29549,Mobile-cellular subscriptions,count
Nigeria,NGA,2004,6.48476,Mobile-cellular subscriptions,count
Nigeria,NGA,2005,12.8171,Mobile-cellular subscriptions,count
Nigeria,NGA,2006,21.6815,Mobile-cellular subscriptions,count
Nigeria,NGA,2007,26.3563,Mobile-cellular subscriptions,count
Nigeria,NGA,2008,39.9686,Mobile-cellular subscriptions,count
Nigeria,NGA,2009,45.9849,Mobile-cellular subscriptions,count
Nigeria,NGA,2010,52.3861,Mobile-cellular subscriptions,count
Nigeria,NGA,2011,55.5301,Mobile-cellular subscriptions,count
Nigeria,NGA,2012,64.0053,Mobile-cellular subscriptions,count
Nigeria,NGA,2013,70.2825,Mobile-cellular subscriptions,count
Nigeria,NGA,2014,74.7513,Mobile-cellular subscriptions,count
Nigeria,NGA,2015,79.1045,Mobile-cellular subscriptions,count
Nigeria,NGA,2016,78.9701,Mobile-cellular subscriptions,count
Nigeria,NGA,2017,72.368,Mobile-cellular subscriptions,count
Nigeria,NGA,2018,84.284,Mobile-cellular subscriptions,count
Nigeria,NGA,2019,88.1169,Mobile-cellular subscriptions,count
Nigeria,NGA,2020,95.4357,Mobile-cellular subscriptions,count
Nigeria,NGA,2021,89.2916,Mobile-cellular subscriptions,count
Nigeria,NGA,2022,99.5852,Mobile-cellular subscriptions,count
Nigeria,NGA,2023,98.4773,Mobile-cellular subscriptions,count
Nigeria,NGA,2024,70.7619,Mobile-cellular subscriptions,count
